egoid,AcademicPeriod,CourseReferenceNumber,FinalGrade
51760,201520,23066,A
51760,201720,24633,S
51760,201610,11087,A
51760,201710,13831,A
51760,201400,3385,S
51760,201620,20357,A
51760,201820,24026,A-
51760,201820,30320,A
51760,201720,22270,A
51760,201710,13149,A
51760,201620,20014,A
51760,201610,18036,A
51760,201520,25659,A
51760,201510,11024,A
51760,201510,21184,S
51760,201720,29726,A
51760,201520,30356,A
51760,201510,20465,A
51760,201610,12509,A-
51760,201810,16414,A
51760,201520,26448,A
51760,201610,13474,A
51760,201720,24887,A
51760,201620,21151,S
51760,201620,21204,A
51760,201520,22326,A
51760,201610,14806,B+
51760,201720,20536,A
51760,201520,24667,A
51760,201820,26103,P
51760,201610,14399,A
51760,201620,21323,A-
51760,201720,26031,A
51760,201510,18034,A
51760,201820,20308,A-
51760,201520,21219,S
51760,201710,18299,A
51760,201810,11323,A
51760,201620,23263,A
51760,201810,11137,A
51760,201710,12142,A
51760,201710,14653,S
51760,201610,11267,A
51760,201710,15080,A
51760,201510,13630,A
51760,201810,10886,A
72806,201710,12835,A
72806,201510,19488,A
72806,201820,30520,A
72806,201510,10677,S
72806,201720,29988,A-
72806,201820,26993,A
72806,201710,12836,S
72806,201520,30364,A
72806,201810,14389,A
72806,201620,27126,A
72806,201510,12205,A-
72806,201710,11887,A
72806,201620,26048,A-
72806,201810,14540,A-
72806,201810,12619,S
72806,201520,20348,A-
72806,201820,27507,B+
72806,201610,11345,B+
72806,201510,14051,A-
72806,201810,19869,A-
72806,201610,16310,A
72806,201710,21260,A-
72806,201520,27863,S
72806,201720,29495,A
72806,201610,12175,B+
72806,201720,30628,A-
72806,201610,19536,A
72806,201520,22127,A
72806,201620,29220,A-
72806,201610,12191,S
72806,201620,25963,A
72806,201610,16528,S
72806,201710,18539,A
72806,201510,20392,A
72806,201710,12831,A
72806,201820,25443,B+
72806,201720,21692,S
72806,201810,15994,A
72806,201510,15621,A-
72806,201510,13723,A-
72806,201620,23619,A-
72806,201610,15198,A
72806,201620,24972,S
72806,201520,25844,A
72806,201720,29987,A
72806,201520,26666,A
72806,201620,22036,S
72806,201520,25141,A
72806,201720,30009,A
36038,201620,20790,A
36038,201510,20397,A
36038,201820,23673,A
36038,201520,21897,B
36038,201520,21538,A
36038,201710,20003,A
36038,201900,3555,A
36038,201510,11791,S
36038,201620,20737,B-
36038,201900,2958,A-
36038,201610,11725,S
36038,201610,19944,A-
36038,201720,29569,S
36038,201610,20699,A-
36038,201900,2674,A-
36038,201610,11354,B
36038,201710,14468,A-
36038,201810,20025,A-
36038,201610,11356,A
36038,201710,13243,A-
36038,201620,22904,A-
36038,201710,16725,A-
36038,201820,22114,A-
36038,201510,12204,B
36038,201620,24353,B+
36038,201510,10676,B
36038,201510,18285,A-
36038,201710,10553,A
36038,201520,21899,A
36038,201720,24416,A-
36038,201520,30275,A
36038,201820,23711,A
36038,201620,30565,S
36038,201810,19226,A
36038,201610,12271,S
36038,201610,19946,A-
36038,201520,21657,S
36038,201710,14873,A
36038,201900,2663,A
36038,201710,20268,A
36038,201520,22666,B+
36038,201810,14899,A
36038,201520,20348,A-
36038,201810,15828,A-
36038,201900,2679,A
36038,201620,23577,A-
36038,201820,30207,A-
36038,201720,23756,A
36038,201810,20111,A
36038,201620,23818,B+
36038,201820,25009,S
36038,201720,23020,A
36038,201610,13168,B+
36038,201520,22678,A-
36038,201510,12523,B+
36038,201610,14407,S
36038,201510,12385,S
36038,201710,17107,A-
36038,201900,2668,A
36038,201720,23024,A-
36038,201720,20938,A-
36038,201510,12087,A-
36038,201620,21798,S
36038,201900,2655,A
39146,201720,28004,A
39146,201610,11577,A
39146,201520,21451,A-
39146,201810,19510,A
39146,201720,29763,A-
39146,201620,23260,B
39146,201820,20417,A
39146,201710,20014,B
